Account,date,daily_pnl,classification,value,win_rate,avg_trade_size,num_trades,long_short_ratio,leverage_proxy,daily_volume,profit_per_trade,Crossed,frequency_segment,consistency_segment,profitable_day,leverage_segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,Fear,27.0,0.8769230769230769,2676.518153846154,65,0.14035087719298245,927.9351832377522,173973.68,10.1006268,0.8923076923076924,frequent,consistent,True,high_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,Extreme Fear,20.0,0.9622641509433962,3326.2756603773582,53,0.019230769230769232,1117.128551033841,176292.61,-20.109388358490566,0.9811320754716981,frequent,consistent,False,high_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,Fear,34.0,0.9811320754716981,2184.328113207547,53,0.019230769230769232,1071.217427111805,115769.39,30.03308058490566,0.9811320754716981,frequent,consistent,True,high_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,Neutral,45.0,0.0,4259.311481481482,27,1.7,49.70214272530108,115001.41,-85.75471077777777,0.48148148148148145,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,Fear,44.0,0.0,1460.115,42,0.0,12.789635352662499,61324.83,0.0,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,Fear,26.0,0.0,580.479381443299,97,0.0,0.6324864579995024,56306.5,-51.73676749484536,1.0,frequent,consistent,False,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,Fear,34.0,0.535483870967742,730.8744516129032,155,0.8674698795180723,1.9959564341920588,113285.54,4.620283541935484,0.7806451612903226,frequent,consistent,True,low_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,Fear,25.0,0.0,54768.6,1,0.0,54570.55744427341,54768.6,0.0,0.0,frequent,consistent,False,high_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,Fear,38.0,0.0,16.37,1,0.0,16.369999836300003,16.37,0.0,1.0,frequent,consistent,False,medium_leverage
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,Fear,29.0,0.011363636363636364,780.4484090909092,88,0.0,0.8021594904782791,68679.46,-1.0907470909090908,1.0,frequent,consistent,False,low_leverage
